FullDate,DayDate,MonthDate,YearDate,ShowName,TheatreName,ShowType,WeeklyAttendance,CapacityFilled,Gross,GrossPotential,NumPerformances
1/2/00,2,1,2000,Amadeus,Music Box,Play,"5,527",70%,"285,367",61%,8
1/2/00,2,1,2000,Annie Get Your Gun,Marquis,Musical,"10,026",79%,"607,597",77%,8
1/2/00,2,1,2000,Beauty And The Beast,Lunt-Fontanne,Musical,"11,101",94%,"737,518",97%,8
1/2/00,2,1,2000,Cabaret 98,Studio 54 ('98),Musical,"7,095",96%,"518,476",92%,8
1/2/00,2,1,2000,Cats,Winter Garden,Musical,"9,338",79%,"514,784",68%,8
1/2/00,2,1,2000,Chicago,Shubert,Musical,"10,395",79%,"656,076",77%,9
1/2/00,2,1,2000,Dame Edna: The Royal Tour,Booth,Play,"5,043",82%,"289,128",82%,8
1/2/00,2,1,2000,Footloose,Richard Rodgers,Musical,"8,474",79%,"476,210",70%,8
1/2/00,2,1,2000,Fosse,Broadhurst,Musical,"8,573",94%,"632,067",91%,8
1/2/00,2,1,2000,It Ain'T Nothin' But The Blues,Ambassador,Musical,"3,119",41%,"148,441",32%,7
1/2/00,2,1,2000,Jackie Mason: Much Ado About Everything,Golden,Play,"3,207",92%,"172,011",90%,6
1/2/00,2,1,2000,James Joyce'S The Dead,Belasco,Musical,"5,437",68%,"276,001",61%,0
1/2/00,2,1,2000,Jekyll & Hyde,Plymouth,Musical,"6,751",79%,"411,063",65%,8
1/2/00,2,1,2000,Kat And The Kings,Cort,Musical,"5,467",63%,"211,530",41%,8
1/2/00,2,1,2000,"Kiss Me, Kate",Martin Beck,Musical,"11,199",98%,"766,825",99%,8
1/2/00,2,1,2000,Les Miserables,Imperial,Musical,"9,815",87%,"626,638",77%,8
1/2/00,2,1,2000,Marie Christine,Vivian Beaumont,Musical,"5,965",80%,"301,076",58%,7
1/2/00,2,1,2000,Minnelli On Minnelli,Palace,Special,"7,344",70%,"630,503",67%,6
1/2/00,2,1,2000,Miss Saigon,Broadway,Musical,"9,112",65%,"492,770",56%,8
